,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,training_type,battle_id,mask_segment,mask_bit,unlock_training,reward_id
备注,关卡id,关卡类型,战斗id,掩码段,掩码位,解锁关卡,奖励id（服务器）
,1,1,823,1,1,0,6000184
,2,1,824,1,2,0,6000185
,3,1,825,1,3,0,6000186
,4,1,826,1,4,0,6000187
,5,1,827,1,5,0,6000188
,10101,2,828,1,6,10102,6000189
,10102,2,829,1,7,10103,6000190
,10103,2,830,1,8,0,6000191
,11101,2,872,1,45,11102,6000318
,11102,2,873,1,46,11103,6000319
,11103,2,874,1,47,0,6000320
,11301,2,875,1,48,11302,6000321
,11302,2,876,1,49,11303,6000322
,11303,2,877,1,50,0,6000323
,11401,2,878,1,51,11402,6000324
,11402,2,879,1,52,11403,6000325
,11403,2,880,1,53,0,6000326
,20101,2,831,1,9,20102,6000192
,20102,2,832,1,10,20103,6000193
,20103,2,833,1,11,0,6000194
,30101,2,834,1,12,30102,6000195
,30102,2,835,1,13,30103,6000196
,30103,2,836,1,14,0,6000197
,10201,2,837,1,15,10202,6000198
,10202,2,838,1,16,10203,6000199
,10203,2,839,1,17,0,6000200
,30201,2,840,1,18,30202,6000201
,30202,2,841,1,19,30203,6000202
,30203,2,842,1,20,0,6000203
,10301,2,843,1,21,10302,6000204
,10302,2,844,1,22,10303,6000205
,10303,2,845,1,23,0,6000206
,10401,2,846,1,24,10402,6000207
,10402,2,847,1,25,10403,6000208
,10403,2,848,1,26,0,6000209
,10601,2,849,1,27,10602,6000210
,10602,2,850,1,28,10603,6000211
,10603,2,851,1,29,0,6000212
,10701,2,852,1,30,10702,6000213
,10702,2,853,1,31,10703,6000214
,10703,2,854,1,32,0,6000215
,40101,2,855,1,33,40102,6000216
,40102,2,856,1,34,40103,6000217
,40103,2,857,1,35,0,6000218
,10501,2,858,1,36,10502,6000219
,10502,2,859,1,37,10503,6000220
,10503,2,860,1,38,0,6000221
,10801,2,861,1,39,10802,6000222
,10802,2,862,1,40,10803,6000223
,10803,2,863,1,41,0,6000224
,11201,2,864,1,42,11202,6000225
,11202,2,865,1,43,11203,6000226
,11203,2,866,1,44,0,6000227